pair,family,condition,identifiable,method,truth,prediction,correct,abstain
0,unauthorized_delegation,non_identifiable,0,outcome,agent_A,agent_B,0,0
0,unauthorized_delegation,non_identifiable,0,causal,agent_A,agent_B,0,0
0,unauthorized_delegation,non_identifiable,0,rule,agent_A,agent_B,0,0
0,unauthorized_delegation,non_identifiable,0,scm,agent_A,agent_B,0,0
0,unauthorized_delegation,non_identifiable,0,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
0,unauthorized_delegation,critical_evidence_restored,1,outcome,agent_A,agent_B,0,0
0,unauthorized_delegation,critical_evidence_restored,1,causal,agent_A,agent_B,0,0
0,unauthorized_delegation,critical_evidence_restored,1,rule,agent_A,agent_A,1,0
0,unauthorized_delegation,critical_evidence_restored,1,scm,agent_A,agent_A,1,0
0,unauthorized_delegation,critical_evidence_restored,1,trace-r,agent_A,agent_A,1,0
1,human_override,non_identifiable,0,outcome,operator,developer,0,0
1,human_override,non_identifiable,0,causal,operator,developer,0,0
1,human_override,non_identifiable,0,rule,operator,provider,0,0
1,human_override,non_identifiable,0,scm,operator,operator,1,0
1,human_override,non_identifiable,0,trace-r,operator,NOT_IDENTIFIABLE,0,1
1,human_override,critical_evidence_restored,1,outcome,operator,developer,0,0
1,human_override,critical_evidence_restored,1,causal,operator,operator,1,0
1,human_override,critical_evidence_restored,1,rule,operator,operator,1,0
1,human_override,critical_evidence_restored,1,scm,operator,operator,1,0
1,human_override,critical_evidence_restored,1,trace-r,operator,operator,1,0
2,unauthorized_delegation,non_identifiable,0,outcome,agent_A,agent_B,0,0
2,unauthorized_delegation,non_identifiable,0,causal,agent_A,agent_B,0,0
2,unauthorized_delegation,non_identifiable,0,rule,agent_A,agent_B,0,0
2,unauthorized_delegation,non_identifiable,0,scm,agent_A,agent_B,0,0
2,unauthorized_delegation,non_identifiable,0,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
2,unauthorized_delegation,critical_evidence_restored,1,outcome,agent_A,agent_B,0,0
2,unauthorized_delegation,critical_evidence_restored,1,causal,agent_A,agent_B,0,0
2,unauthorized_delegation,critical_evidence_restored,1,rule,agent_A,agent_A,1,0
2,unauthorized_delegation,critical_evidence_restored,1,scm,agent_A,agent_A,1,0
2,unauthorized_delegation,critical_evidence_restored,1,trace-r,agent_A,agent_A,1,0
3,human_override,non_identifiable,0,outcome,operator,developer,0,0
3,human_override,non_identifiable,0,causal,operator,developer,0,0
3,human_override,non_identifiable,0,rule,operator,provider,0,0
3,human_override,non_identifiable,0,scm,operator,operator,1,0
3,human_override,non_identifiable,0,trace-r,operator,NOT_IDENTIFIABLE,0,1
3,human_override,critical_evidence_restored,1,outcome,operator,developer,0,0
3,human_override,critical_evidence_restored,1,causal,operator,operator,1,0
3,human_override,critical_evidence_restored,1,rule,operator,operator,1,0
3,human_override,critical_evidence_restored,1,scm,operator,operator,1,0
3,human_override,critical_evidence_restored,1,trace-r,operator,operator,1,0
4,unauthorized_delegation,non_identifiable,0,outcome,agent_A,agent_B,0,0
4,unauthorized_delegation,non_identifiable,0,causal,agent_A,agent_B,0,0
4,unauthorized_delegation,non_identifiable,0,rule,agent_A,agent_B,0,0
4,unauthorized_delegation,non_identifiable,0,scm,agent_A,agent_B,0,0
4,unauthorized_delegation,non_identifiable,0,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
4,unauthorized_delegation,critical_evidence_restored,1,outcome,agent_A,agent_B,0,0
4,unauthorized_delegation,critical_evidence_restored,1,causal,agent_A,agent_B,0,0
4,unauthorized_delegation,critical_evidence_restored,1,rule,agent_A,agent_A,1,0
4,unauthorized_delegation,critical_evidence_restored,1,scm,agent_A,agent_A,1,0
4,unauthorized_delegation,critical_evidence_restored,1,trace-r,agent_A,agent_A,1,0
5,human_override,non_identifiable,0,outcome,operator,developer,0,0
5,human_override,non_identifiable,0,causal,operator,developer,0,0
5,human_override,non_identifiable,0,rule,operator,provider,0,0
5,human_override,non_identifiable,0,scm,operator,operator,1,0
5,human_override,non_identifiable,0,trace-r,operator,NOT_IDENTIFIABLE,0,1
5,human_override,critical_evidence_restored,1,outcome,operator,developer,0,0
5,human_override,critical_evidence_restored,1,causal,operator,operator,1,0
5,human_override,critical_evidence_restored,1,rule,operator,operator,1,0
5,human_override,critical_evidence_restored,1,scm,operator,operator,1,0
5,human_override,critical_evidence_restored,1,trace-r,operator,operator,1,0
6,unauthorized_delegation,non_identifiable,0,outcome,agent_A,agent_B,0,0
6,unauthorized_delegation,non_identifiable,0,causal,agent_A,agent_B,0,0
6,unauthorized_delegation,non_identifiable,0,rule,agent_A,agent_B,0,0
6,unauthorized_delegation,non_identifiable,0,scm,agent_A,agent_B,0,0
6,unauthorized_delegation,non_identifiable,0,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
6,unauthorized_delegation,critical_evidence_restored,1,outcome,agent_A,agent_B,0,0
6,unauthorized_delegation,critical_evidence_restored,1,causal,agent_A,agent_B,0,0
6,unauthorized_delegation,critical_evidence_restored,1,rule,agent_A,agent_A,1,0
6,unauthorized_delegation,critical_evidence_restored,1,scm,agent_A,agent_A,1,0
6,unauthorized_delegation,critical_evidence_restored,1,trace-r,agent_A,agent_A,1,0
7,human_override,non_identifiable,0,outcome,operator,developer,0,0
7,human_override,non_identifiable,0,causal,operator,developer,0,0
7,human_override,non_identifiable,0,rule,operator,provider,0,0
7,human_override,non_identifiable,0,scm,operator,operator,1,0
7,human_override,non_identifiable,0,trace-r,operator,NOT_IDENTIFIABLE,0,1
7,human_override,critical_evidence_restored,1,outcome,operator,developer,0,0
7,human_override,critical_evidence_restored,1,causal,operator,operator,1,0
7,human_override,critical_evidence_restored,1,rule,operator,operator,1,0
7,human_override,critical_evidence_restored,1,scm,operator,operator,1,0
7,human_override,critical_evidence_restored,1,trace-r,operator,operator,1,0
8,unauthorized_delegation,non_identifiable,0,outcome,agent_A,agent_B,0,0
8,unauthorized_delegation,non_identifiable,0,causal,agent_A,agent_B,0,0
8,unauthorized_delegation,non_identifiable,0,rule,agent_A,agent_B,0,0
8,unauthorized_delegation,non_identifiable,0,scm,agent_A,agent_B,0,0
8,unauthorized_delegation,non_identifiable,0,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
8,unauthorized_delegation,critical_evidence_restored,1,outcome,agent_A,agent_B,0,0
8,unauthorized_delegation,critical_evidence_restored,1,causal,agent_A,agent_B,0,0
8,unauthorized_delegation,critical_evidence_restored,1,rule,agent_A,agent_A,1,0
8,unauthorized_delegation,critical_evidence_restored,1,scm,agent_A,agent_A,1,0
8,unauthorized_delegation,critical_evidence_restored,1,trace-r,agent_A,agent_A,1,0
9,human_override,non_identifiable,0,outcome,operator,developer,0,0
9,human_override,non_identifiable,0,causal,operator,developer,0,0
9,human_override,non_identifiable,0,rule,operator,provider,0,0
9,human_override,non_identifiable,0,scm,operator,operator,1,0
9,human_override,non_identifiable,0,trace-r,operator,NOT_IDENTIFIABLE,0,1
9,human_override,critical_evidence_restored,1,outcome,operator,developer,0,0
9,human_override,critical_evidence_restored,1,causal,operator,operator,1,0
9,human_override,critical_evidence_restored,1,rule,operator,operator,1,0
9,human_override,critical_evidence_restored,1,scm,operator,operator,1,0
9,human_override,critical_evidence_restored,1,trace-r,operator,operator,1,0
10,unauthorized_delegation,non_identifiable,0,outcome,agent_A,agent_B,0,0
