vignette_id,family,condition,hypothesis_A,hypothesis_B,evidence_summary,expert_question,response_options,confidence_scale,expert_response,expert_confidence
V001,unauthorized_delegation,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled unauthorized delegation trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V002,credential_misuse,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled credential misuse trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V003,ignored_warning,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled ignored warning trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V004,prompt_manipulation,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled prompt manipulation trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V005,model_defect,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled model defect trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V006,policy_defect,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled policy defect trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V007,cloud_defect,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled cloud defect trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V008,human_override,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled human override trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V009,multi_agent_chain,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled multi agent chain trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V010,log_suppression,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled log suppression trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V011,unauthorized_delegation,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled unauthorized delegation trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V012,credential_misuse,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled credential misuse trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V013,ignored_warning,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled ignored warning trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V014,prompt_manipulation,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled prompt manipulation trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V015,model_defect,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled model defect trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V016,policy_defect,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled policy defect trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V017,cloud_defect,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled cloud defect trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V018,human_override,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled human override trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V019,multi_agent_chain,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled multi agent chain trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V020,log_suppression,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled log suppression trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V021,unauthorized_delegation,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled unauthorized delegation trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V022,credential_misuse,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled credential misuse trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V023,ignored_warning,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled ignored warning trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V024,prompt_manipulation,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled prompt manipulation trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V025,model_defect,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled model defect trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V026,policy_defect,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled policy defect trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V027,cloud_defect,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled cloud defect trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V028,human_override,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled human override trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V029,multi_agent_chain,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled multi agent chain trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V030,log_suppression,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled log suppression trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V031,unauthorized_delegation,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled unauthorized delegation trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V032,credential_misuse,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled credential misuse trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V033,ignored_warning,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled ignored warning trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V034,prompt_manipulation,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled prompt manipulation trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V035,model_defect,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled model defect trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V036,policy_defect,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled policy defect trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V037,cloud_defect,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled cloud defect trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
